Handle Count, Page File Bytes, Virtual Bytes, Working Set
235, 12840960, 4533084160, 22048768
235, 12840960, 4533084160, 21876736
235, 10592256, 4533084160, 20631552
235, 12840960, 4533084160, 22044672
235, 12509184, 4533084160, 21721088
235, 12840960, 4533084160, 21815296
235, 10641408, 4533084160, 20615168
235, 12840960, 4533084160, 21999616
235, 12840960, 4533084160, 21950464
235, 12840960, 4533084160, 21856256
235, 12840960, 4533084160, 22036480
235, 12840960, 4533084160, 21864448
235, 12840960, 4533084160, 21958656
235, 12832768, 4533084160, 21774336
235, 12840960, 4533084160, 21897216
235, 12840960, 4533084160, 21946368
235, 12840960, 4533084160, 21671936
235, 12587008, 4533084160, 21532672
235, 12840960, 4533084160, 22052864
235, 12836864, 4533084160, 22106112
235, 12840960, 4533084160, 21803008
235, 12812288, 4533084160, 21618688
235, 12840960, 4533084160, 22130688
235, 12840960, 4533084160, 22151168
235, 10596352, 4533084160, 20738048
235, 12840960, 4533084160, 21889024
235, 12840960, 4533084160, 21680128
235, 12820480, 4533084160, 21450752
235, 12840960, 4533084160, 21856256
235, 12840960, 4533084160, 21762048
235, 12832768, 4533084160, 21557248
235, 12496896, 4533084160, 21827584
235, 12496896, 4533084160, 21798912
235, 12496896, 4533084160, 21843968
235, 12496896, 4533084160, 21843968
235, 12496896, 4533084160, 21831680
235, 12496896, 4533084160, 21680128
235, 12496896, 4533084160, 21839872
235, 12496896, 4533084160, 21811200
235, 12496896, 4533084160, 21647360
235, 12496896, 4533084160, 21827584
235, 12496896, 4533084160, 21843968
235, 12496896, 4533084160, 21811200
235, 13299712, 4533084160, 21848064
235, 13299712, 4533084160, 21790720
235, 13299712, 4533084160, 21975040
235, 13299712, 4533084160, 21975040
235, 12627968, 4533084160, 21696512
235, 13299712, 4533084160, 21852160
235, 13299712, 4533084160, 21872640
235, 13299712, 4533084160, 21999616
235, 13299712, 4533084160, 21680128
235, 13299712, 4533084160, 21905408
235, 13287424, 4533084160, 21831680
235, 13299712, 4533084160, 21975040
235, 13299712, 4533084160, 22089728
235, 13299712, 4533084160, 21934080
235, 13299712, 4533084160, 21942272
235, 13299712, 4533084160, 21942272
235, 11005952, 4533084160, 21012480
235, 13299712, 4533084160, 22077440
235, 13299712, 4533084160, 22011904
235, 13299712, 4533084160, 22155264
235, 12431360, 4533084160, 21590016
235, 13299712, 4533084160, 22028288
235, 13299712, 4533084160, 21909504
235, 13295616, 4533084160, 21692416
235, 13299712, 4533084160, 21827584
235, 13299712, 4533084160, 21893120
235, 13299712, 4533084160, 21913600
235, 13299712, 4533084160, 21876736
235, 13299712, 4533084160, 22093824
235, 13299712, 4533084160, 22093824
235, 13299712, 4533084160, 21762048
235, 13299712, 4533084160, 21983232
235, 13299712, 4533084160, 21975040
235, 13299712, 4533084160, 21659648
235, 13299712, 4533084160, 21868544
235, 13287424, 4533084160, 21651456
235, 11067392, 4533084160, 21151744
235, 13258752, 4533084160, 21639168
235, 12615680, 4533084160, 21610496
235, 13299712, 4533084160, 21680128
235, 13271040, 4533084160, 21635072
235, 12591104, 4533084160, 21508096
235, 13299712, 4533084160, 21655552
235, 12615680, 4533084160, 21630976
235, 13299712, 4533084160, 21745664
235, 12599296, 4533084160, 21635072
235, 12595200, 4533084160, 21573632
235, 12599296, 4533084160, 21635072
235, 12599296, 4533084160, 21626880
235, 12611584, 4533084160, 21647360
235, 12611584, 4533084160, 21647360
235, 12595200, 4533084160, 21585920
235, 12611584, 4533084160, 21643264
235, 12587008, 4533084160, 21622784
235, 12599296, 4533084160, 21635072
235, 13271040, 4533084160, 21659648
235, 13283328, 4533084160, 21680128
235, 13283328, 4533084160, 21680128
235, 12632064, 4533084160, 21655552
235, 13283328, 4533084160, 21733376
235, 13271040, 4533084160, 21688320
235, 13283328, 4533084160, 21794816
235, 12644352, 4533084160, 21676032
235, 12632064, 4533084160, 21553152
235, 12632064, 4533084160, 21602304
235, 12644352, 4533084160, 21721088
235, 13283328, 4533084160, 21901312
235, 12632064, 4533084160, 21635072
235, 13271040, 4533084160, 21790720
235, 13271040, 4533084160, 21966848
235, 12619776, 4533084160, 21602304
235, 12619776, 4533084160, 21848064
235, 12394496, 4533084160, 21614592
235, 12619776, 4533084160, 21876736
235, 12619776, 4533084160, 21880832
235, 12607488, 4533084160, 21676032
235, 13271040, 4533084160, 21843968
235, 12632064, 4533084160, 21610496
235, 12632064, 4533084160, 21639168
235, 13271040, 4533084160, 21778432
235, 11075584, 4533084160, 21192704
235, 12644352, 4533084160, 21680128
235, 12632064, 4533084160, 21639168
235, 12644352, 4533084160, 21659648
235, 12644352, 4533084160, 21540864
235, 12644352, 4533084160, 21667840
235, 13283328, 4533084160, 21987328
235, 13283328, 4533084160, 22081536
235, 13283328, 4533084160, 22081536
235, 13299712, 4533084160, 21782528
235, 13258752, 4533084160, 21716992
235, 13258752, 4533084160, 21766144
235, 13279232, 4533084160, 21848064
235, 13258752, 4533084160, 21807104
235, 12619776, 4533084160, 21635072
235, 13279232, 4533084160, 21790720
235, 13258752, 4533084160, 21811200
235, 13279232, 4533084160, 21868544
235, 13152256, 4533084160, 21573632
235, 13258752, 4533084160, 21794816
235, 12627968, 4533084160, 21643264
235, 13299712, 4533084160, 21823488
235, 13299712, 4533084160, 21831680
235, 13299712, 4533084160, 21819392
235, 13299712, 4533084160, 21819392
235, 13299712, 4533084160, 21807104
235, 12492800, 4533084160, 21635072
235, 13045760, 4533084160, 21762048
235, 12374016, 4533084160, 21643264
235, 12374016, 4533084160, 21643264
235, 12374016, 4533084160, 21635072
235, 12550144, 4533084160, 21499904
235, 13299712, 4533084160, 22016000
235, 13238272, 4533084160, 21614592
235, 11079680, 4533084160, 21192704
235, 13250560, 4533084160, 21708800
235, 13299712, 4533084160, 21778432
235, 13299712, 4533084160, 21786624
235, 13254656, 4533084160, 21635072
235, 12570624, 4533084160, 21553152
235, 12570624, 4533084160, 21622784
235, 13254656, 4533084160, 21594112
235, 13299712, 4533084160, 21852160
235, 13189120, 4533084160, 21635072
235, 13172736, 4533084160, 21569536
235, 13189120, 4533084160, 21651456
235, 12759040, 4533084160, 21798912
235, 12759040, 4533084160, 22052864
235, 12496896, 4533084160, 21692416
235, 12500992, 4533084160, 21626880
235, 12500992, 4533084160, 21676032
235, 12500992, 4533084160, 21618688
235, 12500992, 4533084160, 21663744
235, 12500992, 4533084160, 21618688
235, 12500992, 4533084160, 21606400
235, 12500992, 4533084160, 21676032
235, 12500992, 4533084160, 21590016
235, 12500992, 4533084160, 21614592
235, 12500992, 4533084160, 21659648
235, 12759040, 4533084160, 21991424
235, 12759040, 4533084160, 22028288
235, 12759040, 4533084160, 21692416
235, 12759040, 4533084160, 21774336
235, 12759040, 4533084160, 21700608
235, 12759040, 4533084160, 21708800
235, 12759040, 4533084160, 21737472
235, 12759040, 4533084160, 21667840
235, 12759040, 4533084160, 21745664
235, 12759040, 4533084160, 21745664
235, 12759040, 4533084160, 21696512
235, 12759040, 4533084160, 21733376
235, 12759040, 4533084160, 21745664
235, 12759040, 4533084160, 21757952
235, 12759040, 4533084160, 21733376
235, 12759040, 4533084160, 21700608
235, 12759040, 4533084160, 21741568
235, 12759040, 4533084160, 21745664
235, 12476416, 4533084160, 21565440
235, 12759040, 4533084160, 21737472
235, 12759040, 4533084160, 21741568
235, 12759040, 4533084160, 21745664
235, 12759040, 4533084160, 21741568
235, 12685312, 4533084160, 21602304
235, 12759040, 4533084160, 21733376
235, 12353536, 4533084160, 21594112
